"","title","comment","date","platform","product","is.flavor","is.packaging","is.expiration","is.price","is.source","is.logistic","is.ingredient"
"1","BUFFX EAT餐前吃白芸豆阻断片碳水淀粉白buff糖盒装代餐咀嚼糖果-tmall.com天猫","好看的盒子，里面是独立包装，非常容易携带，对于胖胖的女孩来说吃这些是为了阻断自身的碳水淀粉吸收很有必要的，打开像奶片一样，淡淡的水果口味，没有粉渣的感觉，入口即化，希望可以看到成效","01.23","Tmall","EAT",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"2","BUFFX EAT餐前吃白芸豆阻断片碳水淀粉白buff糖盒装代餐咀嚼糖果-tmall.com天猫","物流非常迅速，糖的口味也很好，还送了别的糖，吃吃看有没有用","01.23","Tmall","EAT",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"3","BUFFX EAT餐前吃白芸豆阻断片碳水淀粉白buff糖盒装代餐咀嚼糖果-tmall.com天猫","是压片型糖果，目前没看出来吃了有什么效果，只能心里安慰自己，吃了这个再吃东西会吸收少些。第一次空腹吃后，过了半小时才进食，中间站起来有些头晕，之后就再没有出现过了，奇怪","01.24","Tmall","EAT",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"4","BUFFX EAT餐前吃白芸豆阻断片碳水淀粉白buff糖盒装代餐咀嚼糖果-tmall.com天猫","这阻断片味道不错，希望对我有效果，我是易胖体质，喝水都能胖，吃一段时间看看效果如何。","01.09","Tmall","EAT",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"5","BUFFX EAT餐前吃白芸豆阻断片碳水淀粉白buff糖盒装代餐咀嚼糖果-tmall.com天猫","收到了！刚准备吃，期望效果！年前减重就靠它了！有效果会再回购哒！好评先！","01.13","Tmall","EAT",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"6","BUFFX EAT餐前吃白芸豆阻断片碳水淀粉白buff糖盒装代餐咀嚼糖果-tmall.com天猫","第一次购买不知道效果 但是味道不错还送一袋维生素c软糖 还有惊喜大红包🧧 过几天里来追评，期待效果","01.23","Tmall","EAT",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"7","BUFFX EAT餐前吃白芸豆阻断片碳水淀粉白buff糖盒装代餐咀嚼糖果-tmall.com天猫","货已收到 包装完好","01.17","Tmall","EAT",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"8","BUFFX EAT餐前吃白芸豆阻断片碳水淀粉白buff糖盒装代餐咀嚼糖果-tmall.com天猫","糖味道挺好吃的，赠送的维生素c糖味道也不错，希望会有效果","01.24","Tmall","EAT",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"9","BUFFX EAT餐前吃白芸豆阻断片碳水淀粉白buff糖盒装代餐咀嚼糖果-tmall.com天猫","甜甜的，很不错，吃起来像糖果一样的，效果比较期待哦！","01.20","Tmall","EAT",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"10","BUFFX EAT餐前吃白芸豆阻断片碳水淀粉白buff糖盒装代餐咀嚼糖果-tmall.com天猫","出门吃大餐必备神器 味道还不错","01.20","Tmall","EAT",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"11","BUFFX EAT餐前吃白芸豆阻断片碳水淀粉白buff糖盒装代餐咀嚼糖果-tmall.com天猫","我是属于易胖体质的那种，朋友给推荐的，可以试一下，前两天在支付宝上边刚好也看到有推荐就买了，还是蛮期待这个糖的效果的","01.17","Tmall","EAT",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"12","BUFFX EAT餐前吃白芸豆阻断片碳水淀粉白buff糖盒装代餐咀嚼糖果-tmall.com天猫","包装品质：非常优秀 商品分量：里面只有二十袋，有点舍不得吃 新鲜度：低糖，个人非常喜欢","01.17","Tmall","EAT",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"13","BUFFX EAT餐前吃白芸豆阻断片碳水淀粉白buff糖盒装代餐咀嚼糖果-tmall.com天猫","刚开始用效果感觉还可以","01.19","Tmall","EAT",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"14","BUFFX EAT餐前吃白芸豆阻断片碳水淀粉白buff糖盒装代餐咀嚼糖果-tmall.com天猫","我的妈呀 超级可爱的包装！像我这种老阿姨 新城代谢慢了的人真的超级容易胖！希望这个可以帮我不长胖嘿嘿","01.13","Tmall","EAT",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
